,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
UP00086|IRF3,0.05013668328631049,,UniPROBE,,9,,19443739,Interferon Regulatory Factor,,interferon regulatory factor 3,Homo Sapiens,,3661,IRF3,-,NM_001571,174.0,,,,,,,,,,,,"[[[0.176, 0.242, 0.341, 0.241], [0.502, 0.099, 0.238, 0.161], [0.443, 0.024, 0.492, 0.041], [0.761, 0.024, 0.088, 0.127], [0.805, 0.032, 0.023, 0.140], [0.307, 0.319, 0.105, 0.269], [0.046, 0.483, 0.430, 0.041], [0.053, 0.015, 0.922, 0.010], [0.791, 0.098, 0.097, 0.014], [0.849, 0.024, 0.011, 0.116], [0.888, 0.051, 0.010, 0.051], [0.050, 0.777, 0.124, 0.049], [0.100, 0.396, 0.090, 0.414], [0.289, 0.151, 0.414, 0.146]]]",IRF3
MC00524|Nr1d1,0.05120738524905605,,Cistrome,,16,,21393543,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 1, group D, member 1",Mus Musculus,Hepatocyte,217166,Nr1d1,,NM_145434,,,,,,,3216(1/2),-25.6858,(1) denovo|(2) denovo|(3) NR1H4|(4) denovo|(5) denovo|(6) denovo|(9) denovo|(10) PPARG|(11) RORA|(12) denovo|(14) ER|(15) denovo|(19) PPARA|(28) TERALPHA,(1)|(2)|(3) Hormone-nuclear Receptor Family|(4)|(5)|(6)|(9)|(10) Hormone-nuclear Receptor Family|(11) Hormone-nuclear Receptor Family|(12)|(14)|(15)|(19) Hormone-nuclear Receptor Family|(28),,14.0,"[[[0.017, 0.021, 0.018, 0.945], [0.029, 0.018, 0.927, 0.026], [0.769, 0.178, 0.022, 0.031], [0.019, 0.942, 0.022, 0.018], [0.024, 0.948, 0.007, 0.021], [0.016, 0.504, 0.026, 0.455], [0.779, 0.058, 0.132, 0.031], [0.151, 0.297, 0.472, 0.080], [0.370, 0.069, 0.022, 0.540], [0.174, 0.073, 0.294, 0.459]]]",Nr1d1
UP00107|Nkx2-4,0.05198807287378693,,UniPROBE,,9,,18585359,Homeodomain Family,,"NK2 transcription factor related, locus 4 (Drosophila)",Mus Musculus,,228731,Nkx2-4,1700001P03Rik Nkx-2.4 tinman,NM_023504,112.0,,,,,,,,,,,,"[[[0.276, 0.208, 0.160, 0.356], [0.498, 0.117, 0.192, 0.193], [0.632, 0.047, 0.128, 0.193], [0.254, 0.174, 0.398, 0.174], [0.093, 0.758, 0.133, 0.016], [0.010, 0.822, 0.010, 0.158], [0.850, 0.015, 0.010, 0.125], [0.022, 0.958, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.218, 0.010, 0.762], [0.279, 0.178, 0.527, 0.016], [0.886, 0.010, 0.026, 0.078], [0.429, 0.385, 0.149, 0.037], [0.511, 0.162, 0.044, 0.283], [0.225, 0.190, 0.048, 0.537], [0.136, 0.255, 0.051, 0.558]]]",Nkx2-4
MC00388|Tal1,0.052039525050294855,,Cistrome,,20,,21795386,Helix-Loop-Helix Family,,T-cell acute lymphocytic leukemia 1,Mus Musculus,G1E,21349,Tal1,,NM_011527,,,,,,,3100(6/6),-47.8097,(1) Tal1|(2) Gata1|(3) denovo|(4) denovo|(5) GATA2|(6) denovo|(7) DAL80|(8) denovo|(9) GATA-1|(10) GATA-1|(11) Gata6|(12) Gata5|(13) QRSL1|(14) GATA-1|(15) Gat1|(16) LMO2|(17) GATA-1|(18) GATA-X|(19) denovo|(20) GATA-3|(21) denovo|(22) Gata3|(23) Gzf3|(24) denovo|(25) GATA-1|(26) GATA-2|(27) denovo|(29) denovo|(30) Gln3|(31) TAL1|(33) GATA-6|(34) NIT2|(35) Evi-1,(1) Helix-Loop-Helix Family|(2) GATA Domain Family|(3)|(4)|(5) GATA Domain Family|(6)|(7)|(8)|(9)|(10)|(11) GATA Domain Family|(12) GATA Domain Family|(13)|(14)|(15)|(16)|(17)|(18)|(19)|(20)|(21)|(22) GATA Domain Family|(23)|(24)|(25)|(26)|(27)|(29)|(30)|(31) Helix-Loop-Helix Family|(33)|(34)|(35),,33.0,"[[[0.073, 0.590, 0.164, 0.174], [0.015, 0.058, 0.005, 0.922], [0.023, 0.000, 0.002, 0.975], [0.994, 0.001, 0.003, 0.002], [0.002, 0.002, 0.000, 0.996], [0.004, 0.991, 0.002, 0.003], [0.321, 0.004, 0.018, 0.657], [0.121, 0.315, 0.380, 0.184], [0.199, 0.288, 0.134, 0.379], [0.245, 0.276, 0.224, 0.255], [0.243, 0.279, 0.203, 0.276], [0.209, 0.308, 0.230, 0.253], [0.262, 0.304, 0.189, 0.245], [0.303, 0.280, 0.186, 0.232], [0.235, 0.434, 0.249, 0.082], [0.246, 0.702, 0.030, 0.021], [0.677, 0.119, 0.131, 0.073], [0.173, 0.170, 0.533, 0.125]]]",Tal1
MA0051|IRF2,0.05250084293392304,,JASPAR,,6,,7687740,Interferon Regulatory Factor,,interferon regulatory factor 2,Homo Sapiens,,3660,IRF2,DKFZp686F0244 IRF-2,NM_002199,349.0,,,,,,,,,,,,"[[[0.010, 0.333, 0.583, 0.074], [0.167, 0.010, 0.813, 0.010], [0.970, 0.010, 0.010, 0.010], [0.917, 0.010, 0.010, 0.063], [0.970, 0.010, 0.010, 0.010], [0.167, 0.010, 0.813, 0.010], [0.010, 0.500, 0.010, 0.480], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.480, 0.500, 0.010], [0.010, 0.583, 0.167, 0.240], [0.417, 0.167, 0.250, 0.166], [0.500, 0.010, 0.167, 0.323], [0.500, 0.083, 0.083, 0.334], [0.417, 0.167, 0.083, 0.333], [0.250, 0.500, 0.083, 0.167]]]",IRF2
UP00249|NKX2-5,0.053724586688944254,,UniPROBE,,9,,18585359,Homeodomain Family,,"NK2 transcription factor related, locus 5 (Drosophila)",Homo Sapiens,,1482,NKX2-5,CHNG5 CSX CSX1 FLJ52202 FLJ97166 FLJ97195 FLJ97197 FLJ99536 NKX2.5 NKX2E NKX4-1,NM_001166175|NM_001166176|NM_004387,112.0,,,,,,,,,,,,"[[[0.284, 0.281, 0.138, 0.297], [0.400, 0.110, 0.327, 0.163], [0.638, 0.030, 0.218, 0.114], [0.185, 0.144, 0.371, 0.300], [0.017, 0.855, 0.118, 0.010], [0.010, 0.958, 0.010, 0.022], [0.948, 0.011, 0.010, 0.031], [0.024, 0.956, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.071, 0.010, 0.909], [0.393, 0.093, 0.491, 0.023], [0.870, 0.010, 0.052, 0.068], [0.632, 0.156, 0.173, 0.039], [0.363, 0.127, 0.086, 0.424], [0.133, 0.206, 0.025, 0.636], [0.095, 0.272, 0.088, 0.545]]]",NKX2-5
MS00515|Hoxa11,0.05380950034426635,,SELEX,,9,,23332764,Homeodomain Family,,homeobox A11,Mus Musculus,293FT,15396,Hoxa11,,NM_010450,,,,,,,,,,,,,"[[[0.252, 0.186, 0.396, 0.166], [0.174, 0.234, 0.449, 0.143], [0.010, 0.513, 0.010, 0.467], [0.436, 0.451, 0.081, 0.032], [0.715, 0.166, 0.109, 0.010], [0.069, 0.010, 0.010, 0.911], [0.584, 0.033, 0.010, 0.373], [0.926, 0.010, 0.010, 0.054], [0.910, 0.070, 0.010, 0.010], [0.569, 0.193, 0.107, 0.131], [0.282, 0.252, 0.178, 0.288]]]",Hoxa11
MC00273|CEBPA,0.053812251680163015,,Cistrome,,20,,20219941,Leucine Zipper Family,,"CCAAT/enhancer binding protein (C/EBP), alpha",Homo Sapiens,Epithelial / HepG2,1050,CEBPA,C/EBP-alpha CEBP,NM_004364,220.0,,,,,,2511(9/12),-61.3784,(0) denovo (1) denovo (2) denovo (3) cebpe (4) CEBPB Cebpb (5) CEBPA Cebpb (6) denovo (7) denovo (8) CEBPA Cebpb (9) CEBPB Cebpb (10) EPAS1 Epas1 (11) C/EBPalpha CEBPA (12) HLF (13) denovo (14) denovo (15) CEBPA Cebpb (16) denovo (17) denovo (18) CEBPD (19) CEBPA Cebpb (20) MATa1 (21) MAC1 (22) Vbp1 (23) ATF4 Atf4 (25) SGF-3 (26) Zta (27) E4BP4 NFIL3,(0)  (1)  (2)  (3)  (4) Leucine zipper Family (bZIP) (5) Leucine zipper Family (bZIP) (6)  (7)  (8) Leucine zipper Family (bZIP) (9) Leucine zipper Family (bZIP) (10) Leucine zipper Family (bZIP) (11)  (12) Leucine zipper Family (bZIP) (13)  (14)  (15) Leucine zipper Family (bZIP) (16)  (17)  (18) Leucine zipper Family (bZIP) (19) Leucine zipper Family (bZIP) (20)  (21)  (22)  (23) Leucine zipper Family (bZIP) (25)  (26)  (27),,27.0,"[[[0.230, 0.222, 0.496, 0.052], [0.244, 0.185, 0.305, 0.265], [0.425, 0.133, 0.421, 0.020], [0.003, 0.006, 0.000, 0.991], [0.006, 0.002, 0.085, 0.907], [0.158, 0.000, 0.703, 0.139], [0.032, 0.651, 0.026, 0.290], [0.278, 0.025, 0.660, 0.036], [0.089, 0.826, 0.006, 0.080], [0.940, 0.046, 0.006, 0.008], [0.991, 0.003, 0.002, 0.004], [0.019, 0.374, 0.127, 0.480], [0.316, 0.347, 0.168, 0.169]]]",CEBPA
MS00160|PROX1,0.05585696856939765,,SELEX,,9,,23332764,PROX,,prospero homeobox 1,Homo Sapiens,293FT,5629,PROX1,,NM_002763,,,,,,,,,,,,,"[[[0.052, 0.446, 0.161, 0.341], [0.950, 0.010, 0.027, 0.013], [0.829, 0.056, 0.012, 0.103], [0.018, 0.010, 0.962, 0.010], [0.956, 0.010, 0.024, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.899, 0.081], [0.010, 0.485, 0.010, 0.495], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.037, 0.943], [0.010, 0.048, 0.011, 0.931], [0.634, 0.164, 0.180, 0.022]]]",PROX1
MS00416|BARHL2,0.056308523710732916,,SELEX,,9,,23332764,Homeodomain Family,,BarH-like homeobox 2,Homo Sapiens,293T,343472,BARHL2,,NM_020063,,,,,,,,,,,,,"[[[0.047, 0.016, 0.010, 0.927], [0.924, 0.010, 0.018, 0.048], [0.970, 0.010, 0.010, 0.010], [0.382, 0.016, 0.079, 0.523], [0.075, 0.331, 0.064, 0.530], [0.122, 0.016, 0.809, 0.053], [0.190, 0.265, 0.293, 0.252], [0.094, 0.315, 0.106, 0.485], [0.185, 0.305, 0.381, 0.129], [0.191, 0.359, 0.109, 0.341], [0.035, 0.010, 0.010, 0.945], [0.911, 0.010, 0.010, 0.069], [0.970, 0.010, 0.010, 0.010], [0.425, 0.011, 0.070, 0.494], [0.062, 0.378, 0.057, 0.503], [0.130, 0.013, 0.800, 0.057]]]",BARHL2
UP00177|Hoxd12,0.05720394970834647,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox D12,Mus Musculus,,15432,Hoxd12,Hox-4.7 Hox-5.6,NM_008274,88.0,,,,,,,,,,,,"[[[0.191, 0.352, 0.107, 0.350], [0.402, 0.197, 0.151, 0.250], [0.369, 0.193, 0.227, 0.211], [0.258, 0.261, 0.381, 0.100], [0.107, 0.067, 0.816, 0.010], [0.010, 0.022, 0.010, 0.958], [0.020, 0.960, 0.010, 0.010], [0.118, 0.010, 0.862, 0.010], [0.010, 0.010, 0.010, 0.970], [0.922, 0.010, 0.010, 0.058], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.575, 0.150, 0.027, 0.248], [0.191, 0.209, 0.100, 0.500], [0.189, 0.369, 0.181, 0.261], [0.266, 0.203, 0.180, 0.351], [0.216, 0.142, 0.246, 0.396]]]",Hoxd12
MA0161|NFIC,0.05724853007843844,,JASPAR,,6,,12101405,Nuclear Factor I-CCAAT-binding Transcription Factor (NFI-CTF) Family,,nuclear factor I/C (CCAAT-binding transcription factor),Homo Sapiens,,4782,NFIC,CTF CTF5 MGC20153 NF-I NFI,NM_005597|NM_205843,10.0,,,,,,,,,,,,"[[[0.052, 0.265, 0.025, 0.658], [0.012, 0.010, 0.043, 0.935], [0.012, 0.010, 0.968, 0.010], [0.013, 0.013, 0.961, 0.013], [0.177, 0.776, 0.023, 0.024], [0.477, 0.142, 0.172, 0.209]]]",NFIC
MS00394|Foxj3,0.05797621023653138,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box J3,Mus Musculus,293FT,230700,Foxj3,,NM_172699,,,,,,,,,,,,,"[[[0.782, 0.029, 0.156, 0.033], [0.097, 0.861, 0.010, 0.032], [0.022, 0.010, 0.958, 0.010], [0.010, 0.010, 0.944, 0.036], [0.967, 0.010, 0.010, 0.013], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.962, 0.010, 0.010, 0.018], [0.941, 0.010, 0.010, 0.039], [0.025, 0.010, 0.013, 0.952]]]",Foxj3
MC00362|Arntl,0.05817762604509724,,Cistrome,,16,,21364973,Helix-Loop-Helix Family,,aryl hydrocarbon receptor nuclear translocator-like,Mus Musculus,Hepatocyte,11865,Arntl,,NM_007489,,,,,,,2824(5/6),-44.4033,(1) bHLH66|(2) denovo|(3) Arnt|(4) PIF1|(5) CBF1|(6) denovo|(7) Mycn|(8) USF1|(9) Myc|(10) Myc|(11) N-Myc|(12) CLOCK::ARNTL|(13) denovo|(14) USF2|(15) MYC|(16) USF1|(17) CBF1|(18) Max|(19) HIF1A|(20) denovo|(21) ARNT|(22) OCSBF-1|(23) Stra13|(24) Ebox|(25) MYC|(26) TAF-1|(27) HAC1|(28) ARNT|(29) CBF1|(30) PHO4|(31) CG1|(32) TCF4|(33) TAF-1|(34) TGA1a|(35) PHO4|(36) MYC|(37) RITA-1|(38) HBP-1a|(39) EmBP-1|(40) c-Myc|(41) MYC::MAX|(42) TFEB|(43) PIF3|(44) GBP|(45) CPRF-2|(46) c-Myc|(47) CPRF-1|(48) ARNT|(49) USF1|(50) USF1|(51) CPRF-1|(52) CBF1|(53) CPRF-2|(55) EPAS1|(56) ABF|(57) CBF1 dimer|(58) Rtg3|(59) CPRF-3|(60) USF1|(61) CBF1|(62) PIF3|(63) HIF1|(64) HY5|(65) SREBF1|(66) Bhlhb2|(69) CPRF-3|(70) TGA1b|(71) ABZ1|(73) PTEN|(75) Tye7|(76) Opaque-2|(78) EmBP-1b|(80) INO2|(84) Tcfe2a|(85) Tcf-4 dimer,(1)|(2)|(3) Helix-Loop-Helix Family|(4)|(5)|(6)|(7) Helix-Loop-Helix Family|(8) Helix-Loop-Helix Family|(9) Helix-Loop-Helix Family|(10) Helix-Loop-Helix Family|(11)|(12) Helix-Loop-Helix Family|(13)|(14) Helix-Loop-Helix Family|(15) Helix-Loop-Helix Family|(16) Helix-Loop-Helix Family|(17)|(18) Helix-Loop-Helix Family|(19) Helix-Loop-Helix Family|(20)|(21) Helix-Loop-Helix Family|(22)|(23)|(24)|(25) Helix-Loop-Helix Family|(26)|(27)|(28) Helix-Loop-Helix Family|(29)|(30)|(31)|(32) Helix-Loop-Helix Family|(33)|(34)|(35)|(36) Helix-Loop-Helix Family|(37)|(38)|(39)|(40)|(41) Helix-Loop-Helix Family|(42) Helix-Loop-Helix Family|(43)|(44)|(45)|(46)|(47)|(48) Helix-Loop-Helix Family|(49) Helix-Loop-Helix Family|(50) Helix-Loop-Helix Family|(51)|(52)|(53)|(55) Helix-Loop-Helix Family|(56)|(57)|(58)|(59)|(60) Helix-Loop-Helix Family|(61)|(62)|(63)|(64)|(65) Helix-Loop-Helix Family|(66) Helix-Loop-Helix Family|(69)|(70)|(71)|(73)|(75)|(76)|(78)|(80)|(84)|(85),,75.0,"[[[0.147, 0.420, 0.431, 0.002], [0.033, 0.949, 0.011, 0.007], [0.940, 0.016, 0.018, 0.025], [0.033, 0.874, 0.025, 0.068], [0.035, 0.018, 0.934, 0.013], [0.025, 0.016, 0.007, 0.952], [0.012, 0.008, 0.962, 0.017], [0.357, 0.454, 0.009, 0.180]]]",Arntl
MC00126|TCF12,0.05836138206110486,,Cistrome,,16,,None,Helix-Loop-Helix Family,,transcription factor 12,Homo Sapiens,H1,6938,TCF12,,NM_003205|NM_207036|NM_207037|NM_207038|NM_207040,,,,,,,2560(1/1),-37.7484,(1) denovo|(2) Tcf-4 dimer|(3) denovo|(4) LMO2|(5) denovo|(6) ATOH1|(7) TCF3|(8) ELSPBP1|(9) denovo|(10) AREB6|(11) MYOG|(12) NEUROD1|(13) TFAP4|(14) denovo|(15) MyoD|(16) MyoD|(17) TCF3|(18) denovo|(19) TCF3|(20) HEB|(21) denovo|(22) denovo|(23) NHLH1|(24) TFAP4|(25) E2A|(28) MYOD1|(29) UBP1|(31) Ebox|(32) RAV1,(1)|(2)|(3)|(4)|(5)|(6) Helix-Loop-Helix Family|(7) Helix-Loop-Helix Family|(8)|(9)|(10)|(11) Helix-Loop-Helix Family|(12) Helix-Loop-Helix Family|(13) Helix-Loop-Helix Family|(14)|(15)|(16)|(17) Helix-Loop-Helix Family|(18)|(19) Helix-Loop-Helix Family|(20)|(21)|(22)|(23) Helix-Loop-Helix Family|(24) Helix-Loop-Helix Family|(25)|(28) Helix-Loop-Helix Family|(29) CP2 Transcription Factor Domain Family|(31)|(32),,29.0,"[[[0.174, 0.522, 0.288, 0.015], [0.007, 0.975, 0.003, 0.015], [0.980, 0.006, 0.010, 0.004], [0.015, 0.012, 0.965, 0.007], [0.037, 0.313, 0.638, 0.012], [0.008, 0.016, 0.006, 0.969], [0.016, 0.002, 0.974, 0.008], [0.018, 0.480, 0.031, 0.471], [0.275, 0.028, 0.332, 0.365], [0.153, 0.267, 0.399, 0.181]]]",TCF12
MS00585|OTX2,0.058792177381788324,,SELEX,,9,,23332764,Homeodomain Family,,orthodenticle homeobox 2,Homo Sapiens,293FT,5015,OTX2,,NM_021728|NM_172337,,,,,,,,,,,,,"[[[0.216, 0.244, 0.088, 0.452], [0.033, 0.010, 0.010, 0.947], [0.933, 0.010, 0.012, 0.045], [0.970, 0.010, 0.010, 0.010], [0.012, 0.010, 0.077, 0.901], [0.034, 0.903, 0.023, 0.040], [0.028, 0.717, 0.042, 0.213], [0.092, 0.271, 0.295, 0.342]]]",OTX2
M01480|Obox5,0.05912774995861947,,Transfac,,4,,18585359,Homeodomain Family,,oocyte specific homeobox 5,Mus Musculus,,252829,Obox5,C87544,NM_145709,85.0,,,,,,,,,,,,"[[[0.280, 0.190, 0.140, 0.390], [0.340, 0.040, 0.330, 0.290], [0.270, 0.230, 0.330, 0.170], [0.394, 0.141, 0.384, 0.081], [0.111, 0.061, 0.818, 0.010], [0.090, 0.010, 0.890, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.808, 0.010, 0.020, 0.162], [0.380, 0.180, 0.080, 0.360], [0.071, 0.081, 0.030, 0.818], [0.180, 0.310, 0.180, 0.330], [0.273, 0.192, 0.121, 0.414], [0.290, 0.380, 0.140, 0.190]]]",Obox5
MS00524|Hoxd9,0.05958856406957663,,SELEX,,9,,23332764,Homeodomain Family,,homeobox D9,Mus Musculus,293FT,15438,Hoxd9,,NM_013555,,,,,,,,,,,,,"[[[0.233, 0.137, 0.602, 0.028], [0.048, 0.544, 0.024, 0.384], [0.622, 0.251, 0.117, 0.010], [0.834, 0.010, 0.134, 0.022], [0.059, 0.032, 0.032, 0.877], [0.493, 0.015, 0.010, 0.482], [0.900, 0.010, 0.010, 0.080], [0.922, 0.034, 0.010, 0.034], [0.637, 0.086, 0.132, 0.145], [0.426, 0.144, 0.097, 0.333]]]",Hoxd9
MS00383|FOXO4,0.059947565002638925,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box O4,Homo Sapiens,293FT,4303,FOXO4,,NM_001170931|NM_005938,,,,,,,,,,,,,"[[[0.216, 0.088, 0.127, 0.569], [0.175, 0.058, 0.064, 0.703], [0.032, 0.065, 0.090, 0.813], [0.080, 0.857, 0.033, 0.030], [0.063, 0.883, 0.020, 0.034], [0.012, 0.959, 0.019, 0.010], [0.010, 0.908, 0.038, 0.044], [0.941, 0.027, 0.022, 0.010], [0.010, 0.934, 0.010, 0.046], [0.872, 0.030, 0.064, 0.034], [0.156, 0.688, 0.057, 0.099], [0.170, 0.132, 0.622, 0.076]]]",FOXO4
MS00490|ZSCAN4,0.06030982355140668,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger and SCAN domain containing 4,Homo Sapiens,293T,201516,ZSCAN4,,NM_152677,,,,,,,,,,,,,"[[[0.121, 0.180, 0.053, 0.646], [0.143, 0.010, 0.837, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.939, 0.010, 0.041], [0.519, 0.254, 0.217, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.042, 0.938], [0.010, 0.023, 0.865, 0.102], [0.615, 0.059, 0.127, 0.199], [0.795, 0.185, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.558, 0.111, 0.203, 0.128]]]",ZSCAN4
M01453|ALX1,0.06074265793543859,,Transfac,,4,,18585359,Homeodomain Family,,ALX homeobox 1,Homo Sapiens,,8092,ALX1,CART1 FND3,NM_006982,86.0,,,,,,,,,,,,"[[[0.170, 0.410, 0.200, 0.220], [0.333, 0.212, 0.354, 0.101], [0.293, 0.465, 0.101, 0.141], [0.323, 0.202, 0.263, 0.212], [0.020, 0.238, 0.010, 0.732], [0.010, 0.040, 0.010, 0.940], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.940, 0.010, 0.040, 0.010], [0.733, 0.010, 0.238, 0.019], [0.158, 0.218, 0.198, 0.426], [0.172, 0.232, 0.192, 0.404], [0.242, 0.202, 0.323, 0.233], [0.257, 0.208, 0.287, 0.248], [0.270, 0.340, 0.210, 0.180]]]",ALX1
M01010|HMGA1,0.061763778971929584,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),AT-hook Domain Family,,high mobility group AT-hook 1,Homo Sapiens,,3159,HMGA1,HMG-R HMGA1A HMGIY MGC12816 MGC4242 MGC4854,NM_002131|NM_145899|NM_145901|NM_145902|NM_145903|NM_145905,54.0,,,,,,,,,,,,"[[[0.440, 0.240, 0.080, 0.240], [0.280, 0.280, 0.240, 0.200], [0.160, 0.040, 0.280, 0.520], [0.080, 0.040, 0.560, 0.320], [0.120, 0.400, 0.320, 0.160], [0.720, 0.080, 0.040, 0.160], [0.560, 0.010, 0.120, 0.310], [0.280, 0.010, 0.040, 0.670], [0.010, 0.080, 0.010, 0.900], [0.160, 0.010, 0.040, 0.790], [0.120, 0.320, 0.160, 0.400], [0.120, 0.360, 0.040, 0.480], [0.120, 0.280, 0.010, 0.590], [0.200, 0.160, 0.360, 0.280], [0.400, 0.080, 0.200, 0.320]]]",HMGA1
M01268|NR1H4,0.06278824794073834,,Transfac,,4,,"P1481927. New matrix entries., Rel20093 Book 0001 (2009)",Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 1, group H, member 4",Homo Sapiens,,9971,NR1H4,BAR FXR HRR-1 HRR1 MGC163445 RIP14,NM_005123,77.0,,,,,,,,,,,,"[[[0.717, 0.010, 0.263, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.895, 0.085], [0.158, 0.053, 0.053, 0.736], [0.010, 0.895, 0.010, 0.085], [0.970, 0.010, 0.010, 0.010], [0.211, 0.263, 0.158, 0.368]]]",NR1H4
MS00270|Mlx,0.06373198777492972,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,MAX-like protein X,Mus Musculus,239FT,21428,Mlx,,NM_001159384|NM_001159385|NM_011550,,,,,,,,,,,,,"[[[0.551, 0.026, 0.301, 0.122], [0.071, 0.077, 0.168, 0.684], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.749, 0.118, 0.065, 0.068], [0.081, 0.312, 0.014, 0.593]]]",Mlx
MS00422|Barhl1,0.06954927761900281,,SELEX,,9,,23332764,Homeodomain Family,,BarH-like 1 (Drosophila),Mus Musculus,293FT,54422,Barhl1,,NM_001164186|NM_019446,,,,,,,,,,,,,"[[[0.043, 0.010, 0.010, 0.937], [0.908, 0.010, 0.010, 0.072], [0.970, 0.010, 0.010, 0.010], [0.425, 0.016, 0.101, 0.458], [0.090, 0.351, 0.081, 0.478], [0.137, 0.016, 0.785, 0.062], [0.154, 0.317, 0.305, 0.224], [0.102, 0.331, 0.119, 0.448], [0.178, 0.317, 0.370, 0.135], [0.184, 0.367, 0.131, 0.318], [0.042, 0.010, 0.010, 0.938], [0.886, 0.010, 0.010, 0.094], [0.970, 0.010, 0.010, 0.010], [0.458, 0.013, 0.105, 0.424], [0.069, 0.389, 0.080, 0.462], [0.155, 0.019, 0.756, 0.070]]]",Barhl1
MS00287|TFAP4,0.06964756044129616,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,transcription factor AP-4 (activating enhancer binding protein 4),Homo Sapiens,239FT,7023,TFAP4,,NM_003223,,,,,,,,,,,,,"[[[0.763, 0.111, 0.075, 0.051], [0.536, 0.135, 0.015, 0.314], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.024, 0.956, 0.010], [0.010, 0.966, 0.014, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.468, 0.029, 0.086, 0.417], [0.062, 0.141, 0.090, 0.707]]]",TFAP4
MS00624|VENTX,0.07092057875778551,,SELEX,,9,,23332764,Homeodomain Family,,VENT homeobox homolog (Xenopus laevis),Homo Sapiens,293FT,27287,VENTX,,NM_014468,,,,,,,,,,,,,"[[[0.149, 0.558, 0.193, 0.100], [0.110, 0.414, 0.428, 0.048], [0.048, 0.548, 0.036, 0.368], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.500, 0.374, 0.116], [0.037, 0.041, 0.905, 0.017], [0.289, 0.067, 0.622, 0.022], [0.702, 0.010, 0.013, 0.275], [0.871, 0.010, 0.010, 0.109], [0.873, 0.017, 0.010, 0.100], [0.597, 0.231, 0.154, 0.018], [0.010, 0.970, 0.010, 0.010], [0.066, 0.059, 0.865, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.181, 0.020, 0.789, 0.010]]]",VENTX
