,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
MS00709|THRA,0.009847971969326174,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)",Homo Sapiens,239FT,7067,THRA,,NM_001190918|NM_001190919|NM_003250|NM_199334,,,,,,,,,,,,,"[[[0.289, 0.062, 0.455, 0.194], [0.010, 0.043, 0.010, 0.937], [0.019, 0.023, 0.948, 0.010], [0.794, 0.013, 0.015, 0.178], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.107, 0.010, 0.873], [0.014, 0.324, 0.177, 0.485], [0.773, 0.013, 0.204, 0.010], [0.010, 0.125, 0.017, 0.848], [0.464, 0.059, 0.464, 0.013], [0.889, 0.010, 0.091, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.217, 0.010, 0.013, 0.760], [0.010, 0.906, 0.058, 0.026], [0.915, 0.014, 0.061, 0.010], [0.220, 0.369, 0.117, 0.294]]]"
M00983|MAF,0.010083777025702099,,Transfac,,4,,P1481859. New TRANSFAC MATRIX entries Book 3 0001 (2002),Leucine zipper Family,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian),Homo Sapiens,,4094,MAF,MGC71685 c-MAF,NM_001031804|NM_005360,192.0,,,,,,,,,,,,"[[[0.154, 0.154, 0.192, 0.500], [0.115, 0.192, 0.615, 0.078], [0.154, 0.577, 0.077, 0.192], [0.154, 0.010, 0.231, 0.605], [0.038, 0.077, 0.846, 0.039], [0.769, 0.010, 0.077, 0.144], [0.038, 0.010, 0.808, 0.144], [0.038, 0.038, 0.192, 0.732], [0.010, 0.808, 0.154, 0.028], [0.970, 0.010, 0.010, 0.010], [0.231, 0.077, 0.308, 0.384]]]"
MS00421|Barhl1,0.010103648030971527,,SELEX,,9,,23332764,Homeodomain Family,,BarH-like 1 (Drosophila),Mus Musculus,293FT,54422,Barhl1,,NM_001164186|NM_019446,,,,,,,,,,,,,"[[[0.194, 0.259, 0.339, 0.208], [0.180, 0.344, 0.179, 0.297], [0.086, 0.010, 0.010, 0.894], [0.952, 0.010, 0.010, 0.028], [0.970, 0.010, 0.010, 0.010], [0.273, 0.035, 0.164, 0.528], [0.155, 0.167, 0.160, 0.518], [0.195, 0.037, 0.693, 0.075], [0.181, 0.328, 0.294, 0.197], [0.157, 0.281, 0.191, 0.371]]]"
MS00325|Jdp2,0.010183474113733168,,SELEX,,9,,23332764,Leucine Zipper Family,,Jun dimerization protein 2,Mus Musculus,293FT,81703,Jdp2,,NM_030887,,,,,,,,,,,,,"[[[0.222, 0.212, 0.474, 0.092], [0.919, 0.027, 0.044, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.943, 0.037], [0.970, 0.010, 0.010, 0.010], [0.010, 0.969, 0.010, 0.011], [0.014, 0.010, 0.966, 0.010], [0.010, 0.010, 0.010, 0.970], [0.037, 0.943, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.399, 0.034, 0.557], [0.209, 0.461, 0.146, 0.184]]]"
UP00223|Irx3,0.010324494079991194,,UniPROBE,,9,,18585359,Homeodomain Family,,Iroquois related homeobox 3 (Drosophila),Mus Musculus,,16373,Irx3,AI894186,NM_008393,254.0,,,,,,,,,,,,"[[[0.369, 0.086, 0.205, 0.340], [0.332, 0.160, 0.284, 0.224], [0.291, 0.190, 0.230, 0.289], [0.295, 0.218, 0.265, 0.222], [0.224, 0.010, 0.047, 0.719], [0.935, 0.014, 0.014, 0.037], [0.010, 0.970, 0.010, 0.010], [0.924, 0.010, 0.016, 0.050], [0.059, 0.016, 0.010, 0.915], [0.012, 0.010, 0.968, 0.010], [0.037, 0.014, 0.014, 0.935], [0.722, 0.047, 0.010, 0.221], [0.449, 0.227, 0.166, 0.158], [0.313, 0.070, 0.179, 0.438], [0.523, 0.075, 0.106, 0.296], [0.186, 0.387, 0.129, 0.298], [0.277, 0.128, 0.189, 0.406]]]"
MS00617|UNCX,0.010508305245781167,,SELEX,,9,,23332764,Homeodomain Family,,UNC homeobox,Homo Sapiens,293FT,340260,UNCX,,NM_001080461,,,,,,,,,,,,,"[[[0.135, 0.361, 0.155, 0.349], [0.092, 0.391, 0.049, 0.468], [0.792, 0.054, 0.098, 0.056], [0.933, 0.033, 0.011, 0.023], [0.013, 0.021, 0.010, 0.956], [0.068, 0.086, 0.039, 0.807], [0.843, 0.051, 0.017, 0.089], [0.374, 0.212, 0.284, 0.130]]]"
MS00270|Mlx,0.01059091019388935,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,MAX-like protein X,Mus Musculus,239FT,21428,Mlx,,NM_001159384|NM_001159385|NM_011550,,,,,,,,,,,,,"[[[0.551, 0.026, 0.301, 0.122], [0.071, 0.077, 0.168, 0.684], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.749, 0.118, 0.065, 0.068], [0.081, 0.312, 0.014, 0.593]]]"
M01334|Nkx1-1,0.010778842218816816,,Transfac,,4,,18585359,Homeodomain Family,,"NK1 transcription factor related, locus 1 (Drosophila)",Mus Musculus,,672284,Nkx1-1,Nkx-1.1 Sax2,XM_001473635|XM_987021,63.0,,,,,,,,,,,,"[[[0.350, 0.070, 0.120, 0.460], [0.168, 0.248, 0.545, 0.039], [0.260, 0.480, 0.130, 0.130], [0.354, 0.202, 0.404, 0.040], [0.050, 0.630, 0.130, 0.190], [0.010, 0.416, 0.010, 0.564], [0.869, 0.111, 0.010, 0.010], [0.960, 0.010, 0.010, 0.020], [0.040, 0.010, 0.010, 0.940], [0.010, 0.010, 0.111, 0.869], [0.564, 0.010, 0.416, 0.010], [0.190, 0.130, 0.630, 0.050], [0.010, 0.460, 0.060, 0.470], [0.110, 0.100, 0.680, 0.110], [0.101, 0.313, 0.495, 0.091], [0.160, 0.160, 0.490, 0.190], [0.360, 0.200, 0.260, 0.180]]]"
MS00326|MAFF,0.01094832347398399,,SELEX,,9,,23332764,Leucine Zipper Family,,v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian),Homo Sapiens,293FT,23764,MAFF,,NM_001161572|NM_001161573|NM_001161574|NM_012323|NM_152878,,,,,,,,,,,,,"[[[0.240, 0.185, 0.145, 0.430], [0.032, 0.053, 0.010, 0.905], [0.010, 0.012, 0.968, 0.010], [0.010, 0.967, 0.010, 0.013], [0.017, 0.038, 0.010, 0.935], [0.010, 0.010, 0.909, 0.071], [0.890, 0.021, 0.010, 0.079], [0.051, 0.470, 0.377, 0.102], [0.063, 0.010, 0.024, 0.903], [0.089, 0.883, 0.010, 0.018], [0.922, 0.010, 0.043, 0.025], [0.021, 0.010, 0.925, 0.044], [0.010, 0.970, 0.010, 0.010], [0.756, 0.010, 0.201, 0.033], [0.470, 0.116, 0.094, 0.320]]]"
M01445|Obox6,0.010991054350503321,,Transfac,,4,,18585359,Homeodomain Family,,oocyte specific homeobox 6,Mus Musculus,,252830,Obox6,D17Ertd599e,NM_145710,31.0,,,,,,,,,,,,"[[[0.510, 0.240, 0.110, 0.140], [0.300, 0.210, 0.200, 0.290], [0.690, 0.040, 0.140, 0.130], [0.680, 0.090, 0.040, 0.190], [0.347, 0.119, 0.347, 0.187], [0.140, 0.610, 0.190, 0.060], [0.040, 0.010, 0.940, 0.010], [0.010, 0.010, 0.970, 0.010], [0.950, 0.030, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.440, 0.020, 0.080, 0.460], [0.253, 0.343, 0.051, 0.353], [0.120, 0.230, 0.460, 0.190]]]"
MS00103|MYBL2,0.011055422699686663,,SELEX,,9,,23332764,Myb Domain Family,,v-myb myeloblastosis viral oncogene homolog (avian)-like 2,Homo Sapiens,293FT,4605,MYBL2,,NM_002466,,,,,,,,,,,,,"[[[0.580, 0.021, 0.302, 0.097], [0.070, 0.893, 0.027, 0.010], [0.096, 0.740, 0.153, 0.011], [0.011, 0.010, 0.969, 0.010], [0.010, 0.010, 0.046, 0.934], [0.010, 0.010, 0.010, 0.970], [0.822, 0.010, 0.131, 0.037], [0.431, 0.163, 0.341, 0.065], [0.704, 0.010, 0.272, 0.014], [0.790, 0.030, 0.109, 0.071], [0.070, 0.887, 0.027, 0.016], [0.068, 0.798, 0.097, 0.037], [0.026, 0.010, 0.954, 0.010], [0.010, 0.010, 0.079, 0.901], [0.010, 0.011, 0.010, 0.969], [0.769, 0.032, 0.128, 0.071]]]"
MC00337|Ikzf3,0.011120118685097767,,Cistrome,,16,,22080921,BetaBetaAlpha-zinc finger Family,,IKAROS family zinc finger 3,Mus Musculus,Thymocyte,22780,Ikzf3,,NM_011771,,,,,,,5095(2/2),-21.4515,(1) denovo|(2) c-Ets-1 68|(3) ETS2|(4) denovo|(5) Gabpa|(6) Ets1|(7) Ets|(8) Ets|(9) ERG|(10) GABPA|(11) GABP-alpha|(12) PEA3|(13) denovo|(14) FLI1|(15) ELF1|(16) NR2C2|(17) NRF-2/GABP|(18) Ets1|(19) GCR2,(1)|(2)|(3) Ets Domain Family|(4)|(5) Ets Domain Family|(6) Ets Domain Family|(7)|(8)|(9) Ets Domain Family|(10) Ets Domain Family|(11)|(12)|(13)|(14) Ets Domain Family|(15) Ets Domain Family|(16) Hormone-nuclear Receptor Family|(17)|(18) Ets Domain Family|(19),,19.0,"[[[0.015, 0.597, 0.156, 0.233], [0.527, 0.015, 0.294, 0.164], [0.008, 0.813, 0.007, 0.172], [0.142, 0.009, 0.020, 0.829], [0.009, 0.006, 0.018, 0.967], [0.016, 0.960, 0.015, 0.010], [0.030, 0.947, 0.015, 0.008], [0.009, 0.046, 0.181, 0.764], [0.023, 0.272, 0.689, 0.016], [0.092, 0.402, 0.070, 0.436]]]"
UP00043|Bcl6b,0.011559898048052812,,UniPROBE,,9,,19443739,BetaBetaAlpha-zinc finger Family,,"B-cell CLL/lymphoma 6, member B",Mus Musculus,,12029,Bcl6b,Bazf,NM_007528,101.0,,,,,,,,,,,,"[[[0.347, 0.082, 0.203, 0.368], [0.169, 0.599, 0.047, 0.185], [0.086, 0.106, 0.059, 0.749], [0.129, 0.085, 0.077, 0.709], [0.032, 0.010, 0.016, 0.942], [0.013, 0.869, 0.010, 0.108], [0.018, 0.104, 0.450, 0.428], [0.801, 0.011, 0.016, 0.172], [0.141, 0.055, 0.762, 0.042], [0.073, 0.021, 0.812, 0.094], [0.878, 0.015, 0.045, 0.062], [0.876, 0.027, 0.014, 0.083], [0.206, 0.213, 0.041, 0.540], [0.244, 0.228, 0.168, 0.360], [0.209, 0.304, 0.148, 0.339], [0.202, 0.294, 0.335, 0.169]]]"
MS00162|RFX2,0.011604695667698783,,SELEX,,9,,23332764,RFX Domain Family,,"regulatory factor X, 2 (influences HLA class II expression)",Homo Sapiens,293FT,5990,RFX2,,NM_000635|NM_134433,,,,,,,,,,,,,"[[[0.029, 0.603, 0.289, 0.079], [0.010, 0.010, 0.952, 0.028], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.010, 0.036, 0.944, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.034, 0.010, 0.946], [0.970, 0.010, 0.010, 0.010], [0.372, 0.013, 0.593, 0.022], [0.010, 0.010, 0.970, 0.010], [0.010, 0.918, 0.062, 0.010], [0.956, 0.010, 0.024, 0.010], [0.961, 0.010, 0.019, 0.010], [0.039, 0.939, 0.012, 0.010], [0.098, 0.365, 0.517, 0.020]]]"
MS00337|NFIL3,0.0116947432833569,,SELEX,,9,,23332764,Leucine Zipper Family,,"nuclear factor, interleukin 3 regulated",Homo Sapiens,293FT,4783,NFIL3,,NM_005384,,,,,,,,,,,,,"[[[0.221, 0.281, 0.210, 0.288], [0.534, 0.165, 0.273, 0.028], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.215, 0.765], [0.771, 0.010, 0.208, 0.011], [0.021, 0.889, 0.019, 0.071], [0.523, 0.021, 0.445, 0.011], [0.011, 0.184, 0.010, 0.795], [0.745, 0.235, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.044, 0.435, 0.118, 0.403], [0.345, 0.289, 0.174, 0.192]]]"
MS00343|FOXB1,0.01203784487217244,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box B1,Homo Sapiens,FT293,27023,FOXB1,,NM_012182,,,,,,,,,,,,,"[[[0.132, 0.081, 0.651, 0.136], [0.761, 0.081, 0.096, 0.062], [0.914, 0.010, 0.032, 0.044], [0.010, 0.016, 0.010, 0.964], [0.030, 0.010, 0.948, 0.012], [0.951, 0.021, 0.018, 0.010], [0.022, 0.866, 0.010, 0.102], [0.955, 0.010, 0.025, 0.010], [0.010, 0.964, 0.016, 0.010], [0.509, 0.068, 0.374, 0.049], [0.108, 0.019, 0.842, 0.031], [0.121, 0.705, 0.106, 0.068], [0.100, 0.057, 0.663, 0.180], [0.565, 0.198, 0.140, 0.097]]]"
MS00376|FOXO1,0.012154135476574509,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box O1,Homo Sapiens,293FT,2308,FOXO1,,NM_002015,,,,,,,,,,,,,"[[[0.108, 0.097, 0.133, 0.662], [0.125, 0.041, 0.039, 0.795], [0.034, 0.069, 0.045, 0.852], [0.016, 0.933, 0.012, 0.039], [0.022, 0.946, 0.010, 0.022], [0.010, 0.970, 0.010, 0.010], [0.016, 0.954, 0.012, 0.018], [0.960, 0.014, 0.010, 0.016], [0.010, 0.970, 0.010, 0.010], [0.939, 0.041, 0.010, 0.010], [0.077, 0.773, 0.068, 0.082], [0.201, 0.119, 0.548, 0.132]]]"
MS00604|Prrx2,0.012271398576032485,,SELEX,,9,,23332764,Homeodomain Family,,paired related homeobox 2,Mus Musculus,293FT,20204,Prrx2,,NM_009116,,,,,,,,,,,,,"[[[0.170, 0.380, 0.165, 0.285], [0.071, 0.334, 0.033, 0.562], [0.887, 0.031, 0.049, 0.033], [0.965, 0.010, 0.010, 0.015], [0.010, 0.010, 0.010, 0.970], [0.010, 0.057, 0.010, 0.923], [0.885, 0.048, 0.017, 0.050], [0.364, 0.142, 0.333, 0.161]]]"
MS00618|Uncx,0.01241340716525199,,SELEX,,9,,23332764,Homeodomain Family,,UNC homeobox,Mus Musculus,293T,22255,Uncx,,NM_013702,,,,,,,,,,,,,"[[[0.200, 0.273, 0.242, 0.285], [0.108, 0.061, 0.047, 0.784], [0.727, 0.025, 0.151, 0.097], [0.970, 0.010, 0.010, 0.010], [0.070, 0.108, 0.071, 0.751], [0.043, 0.272, 0.126, 0.559], [0.051, 0.224, 0.204, 0.521], [0.832, 0.086, 0.053, 0.029], [0.961, 0.014, 0.015, 0.010], [0.010, 0.010, 0.010, 0.970], [0.089, 0.083, 0.011, 0.817], [0.769, 0.028, 0.089, 0.114], [0.263, 0.205, 0.321, 0.211]]]"
MS00444|EMX2,0.01248494365908064,,SELEX,,9,,23332764,Homeodomain Family,,empty spiracles homeobox 2,Homo Sapiens,239FT,2018,EMX2,,NM_001165924|NM_004098,,,,,,,,,,,,,"[[[0.138, 0.216, 0.072, 0.574], [0.630, 0.192, 0.082, 0.096], [0.862, 0.052, 0.033, 0.053], [0.016, 0.037, 0.021, 0.926], [0.073, 0.063, 0.054, 0.810], [0.848, 0.019, 0.033, 0.100], [0.365, 0.145, 0.425, 0.065], [0.101, 0.428, 0.187, 0.284], [0.159, 0.040, 0.049, 0.752], [0.870, 0.020, 0.068, 0.042], [0.933, 0.013, 0.043, 0.011], [0.094, 0.039, 0.061, 0.806], [0.143, 0.055, 0.293, 0.509], [0.592, 0.058, 0.246, 0.104]]]"
M00041|ATF2::JUN,0.013020535587187238,,Transfac,,4,,8190638,Leucine zipper Family,,activating transcription factor 2|jun proto-oncogene,Homo Sapiens,,1389|3725,ATF2::JUN,,NM_001880|XM_002342087|XM_002345343|XM_002346389|NM_002228,153.0,,,,,,,,,,,,"[[[0.010, 0.023, 0.010, 0.957], [0.047, 0.010, 0.933, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.047, 0.023, 0.920, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.465, 0.070, 0.455], [0.930, 0.023, 0.010, 0.037]]]"
MS00300|CEBPE,0.013195065422673985,,SELEX,,9,,23332764,Leucine Zipper Family,,"CCAAT/enhancer binding protein (C/EBP), epsilon",Homo Sapiens,293T,1053,CEBPE,,NM_001805,,,,,,,,,,,,,"[[[0.449, 0.227, 0.272, 0.052], [0.010, 0.012, 0.010, 0.968], [0.010, 0.010, 0.120, 0.860], [0.408, 0.010, 0.475, 0.107], [0.025, 0.838, 0.016, 0.121], [0.151, 0.034, 0.787, 0.028], [0.123, 0.777, 0.010, 0.090], [0.932, 0.048, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.013, 0.437, 0.049, 0.501]]]"
MC00312|RUNX1,0.013704903264158286,,Cistrome,,16,,20959602,Runt Domain Family,,runt-related transcription factor 1,Homo Sapiens,K562,861,RUNX1,,NM_001001890|NM_001122607|NM_001754,,,,,,,1414(15/15),-53.791000000000004,(1) denovo|(2) denovo|(3) denovo|(4) PEBP1|(5) RUNX1|(6) AML1|(7) denovo|(8) RUNX3|(9) RUNX1|(10) RUNX2|(11) denovo|(12) CBF (core binding factor)|(13) AML1|(14) CBF (core binding factor)|(21) MET28|(25) Poly A downstream element,(1)|(2)|(3)|(4)|(5) Runt Domain Family|(6)|(7)|(8) Runt Domain Family|(9) Runt Domain Family|(10) Runt Domain Family|(11)|(12)|(13)|(14)|(21)|(25),,16.0,"[[[0.506, 0.127, 0.025, 0.342], [0.717, 0.020, 0.243, 0.019], [0.961, 0.011, 0.023, 0.004], [0.005, 0.987, 0.002, 0.006], [0.005, 0.982, 0.006, 0.007], [0.682, 0.003, 0.305, 0.010], [0.005, 0.983, 0.006, 0.006], [0.970, 0.007, 0.013, 0.010], [0.430, 0.018, 0.508, 0.044], [0.350, 0.251, 0.270, 0.129]]]"
MS00591|PHOX2A,0.014098352221739878,,SELEX,,9,,23332764,Homeodomain Family,,paired-like homeobox 2a,Homo Sapiens,293FT,401,PHOX2A,,NM_005169,,,,,,,,,,,,,"[[[0.141, 0.081, 0.032, 0.746], [0.806, 0.016, 0.108, 0.070], [0.970, 0.010, 0.010, 0.010], [0.076, 0.248, 0.035, 0.641], [0.044, 0.369, 0.160, 0.427], [0.093, 0.339, 0.060, 0.508], [0.789, 0.050, 0.131, 0.030], [0.947, 0.016, 0.026, 0.011], [0.010, 0.010, 0.010, 0.970], [0.085, 0.058, 0.010, 0.847], [0.809, 0.016, 0.058, 0.117]]]"
MC00224|EPAS1,0.01469300152274853,,Cistrome,,20,,None,Helix-Loop-Helix Family,,endothelial PAS domain protein 1,Homo Sapiens,786-O,2034,EPAS1,,NM_001430,,,,,,,4891(2/2),-44.2338,(1) EPAS1|(2) denovo|(3) HIF1A|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(8) ARNT|(9) OCSBF-1|(10) HIF1|(11) RITA-1|(12) denovo|(13) TGA1a|(14) HIF1A|(15) CBF1|(17) bHLH66|(18) Myc|(19) HAC1|(20) TAF-1|(21) denovo|(23) HBP-1a|(24) TAF-1|(32) ARNT|(39) Opaque-2|(43) PHO4,(1) Helix-Loop-Helix Family|(2)|(3) Helix-Loop-Helix Family|(4)|(5)|(6)|(7)|(8) Helix-Loop-Helix Family|(9)|(10)|(11)|(12)|(13)|(14) Helix-Loop-Helix Family|(15)|(17)|(18) Helix-Loop-Helix Family|(19)|(20)|(21)|(23)|(24)|(32) Helix-Loop-Helix Family|(39)|(43),,25.0,"[[[0.292, 0.246, 0.264, 0.199], [0.301, 0.123, 0.359, 0.217], [0.129, 0.072, 0.511, 0.289], [0.002, 0.994, 0.003, 0.001], [0.991, 0.002, 0.003, 0.004], [0.010, 0.979, 0.003, 0.008], [0.009, 0.007, 0.973, 0.010], [0.011, 0.106, 0.002, 0.880], [0.525, 0.244, 0.069, 0.163], [0.077, 0.425, 0.256, 0.243]]]"
MC00273|CEBPA,0.015252190835856449,,Cistrome,,20,,20219941,Leucine Zipper Family,,"CCAAT/enhancer binding protein (C/EBP), alpha",Homo Sapiens,Epithelial / HepG2,1050,CEBPA,C/EBP-alpha CEBP,NM_004364,220.0,,,,,,2511(9/12),-61.3784,(0) denovo (1) denovo (2) denovo (3) cebpe (4) CEBPB Cebpb (5) CEBPA Cebpb (6) denovo (7) denovo (8) CEBPA Cebpb (9) CEBPB Cebpb (10) EPAS1 Epas1 (11) C/EBPalpha CEBPA (12) HLF (13) denovo (14) denovo (15) CEBPA Cebpb (16) denovo (17) denovo (18) CEBPD (19) CEBPA Cebpb (20) MATa1 (21) MAC1 (22) Vbp1 (23) ATF4 Atf4 (25) SGF-3 (26) Zta (27) E4BP4 NFIL3,(0)  (1)  (2)  (3)  (4) Leucine zipper Family (bZIP) (5) Leucine zipper Family (bZIP) (6)  (7)  (8) Leucine zipper Family (bZIP) (9) Leucine zipper Family (bZIP) (10) Leucine zipper Family (bZIP) (11)  (12) Leucine zipper Family (bZIP) (13)  (14)  (15) Leucine zipper Family (bZIP) (16)  (17)  (18) Leucine zipper Family (bZIP) (19) Leucine zipper Family (bZIP) (20)  (21)  (22)  (23) Leucine zipper Family (bZIP) (25)  (26)  (27),,27.0,"[[[0.230, 0.222, 0.496, 0.052], [0.244, 0.185, 0.305, 0.265], [0.425, 0.133, 0.421, 0.020], [0.003, 0.006, 0.000, 0.991], [0.006, 0.002, 0.085, 0.907], [0.158, 0.000, 0.703, 0.139], [0.032, 0.651, 0.026, 0.290], [0.278, 0.025, 0.660, 0.036], [0.089, 0.826, 0.006, 0.080], [0.940, 0.046, 0.006, 0.008], [0.991, 0.003, 0.002, 0.004], [0.019, 0.374, 0.127, 0.480], [0.316, 0.347, 0.168, 0.169]]]"
MS00359|FOXD3,0.015423472373118498,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box D3,Homo Sapiens,293FT,27022,FOXD3,,NM_012183,,,,,,,,,,,,,"[[[0.244, 0.025, 0.718, 0.013], [0.091, 0.115, 0.016, 0.778], [0.784, 0.196, 0.010, 0.010], [0.969, 0.011, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.559, 0.010, 0.421], [0.818, 0.010, 0.146, 0.026]]]"
MS00313|Creb5,0.015452179256654557,,SELEX,,9,,23332764,Leucine Zipper Family,,cAMP responsive element binding protein 5,Mus Musculus,293FT,231991,Creb5,,NM_172728,,,,,,,,,,,,,"[[[0.324, 0.200, 0.288, 0.188], [0.875, 0.054, 0.061, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.782, 0.198], [0.970, 0.010, 0.010, 0.010], [0.010, 0.965, 0.010, 0.015], [0.039, 0.010, 0.941, 0.010], [0.010, 0.010, 0.010, 0.970], [0.198, 0.782, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.486, 0.020, 0.484], [0.200, 0.396, 0.100, 0.304]]]"
UP00193|Rhox11,0.015567465927308713,,UniPROBE,,9,,18585359,Homeodomain Family,,reproductive homeobox 11,Mus Musculus,,194738,Rhox11,BC049711 Gm39 MGC58663,NM_198598,172.0,,,,,,,,,,,,"[[[0.505, 0.140, 0.135, 0.220], [0.282, 0.245, 0.301, 0.172], [0.184, 0.101, 0.385, 0.330], [0.327, 0.270, 0.194, 0.209], [0.143, 0.557, 0.067, 0.233], [0.038, 0.014, 0.932, 0.016], [0.092, 0.773, 0.125, 0.010], [0.010, 0.010, 0.010, 0.970], [0.033, 0.010, 0.947, 0.010], [0.010, 0.010, 0.010, 0.970], [0.603, 0.010, 0.010, 0.377], [0.798, 0.030, 0.032, 0.140], [0.530, 0.101, 0.017, 0.352], [0.244, 0.126, 0.401, 0.229], [0.207, 0.285, 0.354, 0.154], [0.282, 0.188, 0.441, 0.089], [0.423, 0.153, 0.094, 0.330]]]"
MS00466|GSX2,0.01577099415074191,,SELEX,,9,,23332764,Homeodomain Family,,GS homeobox 2,Homo Sapiens,293FT,170825,GSX2,,NM_133267,,,,,,,,,,,,,"[[[0.298, 0.260, 0.219, 0.223], [0.162, 0.410, 0.235, 0.193], [0.103, 0.370, 0.047, 0.480], [0.539, 0.291, 0.044, 0.126], [0.840, 0.040, 0.057, 0.063], [0.063, 0.033, 0.010, 0.894], [0.074, 0.072, 0.012, 0.842], [0.884, 0.028, 0.014, 0.074], [0.462, 0.173, 0.235, 0.130], [0.377, 0.241, 0.161, 0.221]]]"
MS00694|RXRG,0.015800255111986048,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"retinoid X receptor, gamma",Homo Sapiens,293FT,6258,RXRG,,NM_001009598|NM_006917|NR_033824,,,,,,,,,,,,,"[[[0.369, 0.048, 0.571, 0.012], [0.491, 0.010, 0.489, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.949, 0.031], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.870, 0.010, 0.110, 0.010], [0.010, 0.065, 0.010, 0.915], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.055, 0.925, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.559, 0.010, 0.421], [0.010, 0.604, 0.068, 0.318]]]"
MS00186|MGA,0.016577549120211234,,SELEX,,9,,23332764,Transcription Factor T-Domain,,MAX gene associated,Homo Sapiens,293FT,23269,MGA,,NM_001080541|NM_001164273,,,,,,,,,,,,,"[[[0.682, 0.026, 0.199, 0.093], [0.107, 0.092, 0.753, 0.048], [0.010, 0.016, 0.964, 0.010], [0.010, 0.104, 0.010, 0.876], [0.010, 0.010, 0.970, 0.010], [0.030, 0.088, 0.011, 0.871], [0.017, 0.044, 0.775, 0.164], [0.951, 0.010, 0.029, 0.010]]]"
MS00214|TBX4,0.016730722291811485,,SELEX,,9,,23332764,Transcription Factor T-Domain,,T-box 4,Homo Sapiens,239FT,9496,TBX4,,NM_018488,,,,,,,,,,,,,"[[[0.821, 0.019, 0.104, 0.056], [0.122, 0.092, 0.740, 0.046], [0.010, 0.010, 0.970, 0.010], [0.010, 0.080, 0.010, 0.900], [0.010, 0.010, 0.970, 0.010], [0.066, 0.122, 0.013, 0.799], [0.040, 0.160, 0.552, 0.248], [0.850, 0.027, 0.079, 0.044]]]"
MS00484|HOXA13,0.017103285351977783,,SELEX,,9,,23332764,Homeodomain Family,,homeobox A13,Homo Sapiens,FT293,3209,HOXA13,,NM_000522,,,,,,,,,,,,,"[[[0.161, 0.644, 0.185, 0.010], [0.010, 0.641, 0.021, 0.328], [0.669, 0.190, 0.024, 0.117], [0.868, 0.010, 0.010, 0.112], [0.010, 0.010, 0.010, 0.970], [0.895, 0.033, 0.018, 0.054], [0.919, 0.010, 0.010, 0.061], [0.968, 0.012, 0.010, 0.010], [0.642, 0.156, 0.114, 0.088], [0.422, 0.291, 0.093, 0.194]]]"
